Corporation,project_code,j_name,lat,long,footpath,refuge_islands,signals,cctv,vehicular_light,lane_marking,pedestrian_crossing,median_island,table_top,landscape,cat_eyes,traffic_police_chowk,street_furniture,median,pavers,tactile_pavers,rumble_strips,pedestrian_light,signage,pelican_signals,bus_stop_shifting,autobays,cycle_track,pickup_dropoff,pedestrian_only_zone,tree_pits,bollards,j_code,road_hierarchy,theme,overlapping theme,budget
West,J93,Palace Guttahalli – Bellary Road,12.93648,77.55974,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,PI-W-009,SUB_ARTERIAL,School,School,"70,00,000"
West,J94,Shankar Nag Circle,12.9306,77.5435,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,J-A521,ARTERIAL,School,School,"6,00,000"
West,J95,Dr Muthuraj Underpass,12.93373,77.53932,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,PI-W-010,SUB_ARTERIAL,School,School | Commercial ,"50,000"
West,J96,Hoskerehalli Main Road Junction,12.93533,77.53644,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,PI-W-011,SUB_ARTERIAL,School,,"2,00,00,000"
West,J97,PES College Entrance,12.96009,77.533,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,PI-W-012,SUB_ARTERIAL,School,School,"20,00,000"
West,J98,Chandralayout Petrol Bunk,12.96002,77.53301,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PI-W-013,SUB_ARTERIAL,School,,"70,00,000"
West,J99,Vijayanagar TTMC Junction,12.96439,77.5348,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PI-W-014,SUB_ARTERIAL,Transit,,"6,00,000"
West,J100,5th Main Road – Vijayanagar Junction,12.96604,77.53547,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,J-A637,ARTERIAL,Transit,,"50,000"
West,J101,Vijayanagar MCD Signal,12.9688,77.5366,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,PI-W-015,SUB_ARTERIAL,School,School,"2,00,00,000"
West,J102,Andhrahalli Gangodanahalli Junction,13.02766,77.49363,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,PI-W-016,SUB_ARTERIAL,School,School,"20,00,000"
West,J103,Chord Road – Bescom Office Junction,12.99384,77.55113,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-W-017,SUB_ARTERIAL,Commercial ,,"70,00,000"
West,J104,ASI Hospital Chord Road Junction,12.9902,77.55067,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,J-A699,ARTERIAL,Commercial ,,"6,00,000"
West,J105,ESI Hospital Junction 1,12.99007,77.55255,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,J-S376,SUB_ARTERIAL,School,School,"50,000"
West,J106,ESI Hospital Junction 2,12.98998,77.55442,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,J-S379,SUB_ARTERIAL,Commercial ,,"2,00,00,000"
West,J107,Magadi Road Rajkumar Road Junction,12.97507,77.55234,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,PI-W-018,ARTERIAL,School,,"20,00,000"
