fid,Unique ID,Year,Tag,SL No,Traffic ps,Cr no,Latitude,Longitude,Location of Black spot,Date (DD/MM/YYYY),Time ( in 24 hours),Fatal,GI,MI,Severity,Crash Category,Accused,Victim,Vehicles Involved,Type of Crash,Cause of Crash,Raw Date and Time,Raw Road Users Involved,Raw Type of Accident,Raw Collision Type and Vehicle,Raw Cause of Crash,Raw Fatality,context_primary,context_2,context_3,context_count,junction_primary,junction_roads,known_junction,ctx_toll,ctx_petrol_pump,ctx_bus_stop,ctx_merge_point,ctx_ramp_entry_exit,ctx_entry_exit_to_land_use,ctx_along_main_road,ctx_along_service_road,ctx_along_secondary_local_road,ctx_unclassified,footpath_present,crossing_250m,fob_or_subway_250m,validation,notes,Type of User,Combinations
96,20_56/2023,2023,Legitimate,20,J B NAGAR TR PS,56/2023,12.986109,77.64269,OLD BYAPPANAHALLI PLEYOVER KALAPALLI MAIN ROAD,30/03/2023,19:20:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Bus,Cycle,Bus and Cycle,Hit from Back,Rash and Negligent,"30.03.2023, 19.20",RIDER OF CYCLE,Non-Fatal,HIT FROM BACK BUS NO KA-57-F-0562,RASH AND NEGLIGENT,,Along Local Road,,,0.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1,,,['Hit from Back x Along Local Road']
97,21_185/2023,2023,Unique,21,J B NAGAR TR PS,185/2023,12.98514,77.64247,OLD BYAPPANAHALLI PLEYOVER KALAPALLI MAIN ROAD,17/07/2023,07:30:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Car,Car,Car and Car,Head-On,Rash and Negligent,"17.07.2023, 07.30",DRIVER OF CAR NO KA-53-MG-9253,Non-Fatal,HEAD ON CAR NO KA-51-AC-6618,RASH AND NEGLIGENT,,T Junction,Along Local Road,,3.0,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Head-On x T Junction', 'Head-On x Along Local Road']"
98,29_45170.0,2023,Unique,29,KR Pura traffic ps,45170.0,12.984923,77.643024,"RTO office kr pura, Medahalli",06/01/2023,23:15:00,1.0,,1.0,Fatal,Vehicle-Vehicle,3W,Car,3W and Car,Hit from Back,Rash and Negligent,"06/01/2023, 23-15",vehicle to vehilce,auto v/s car,hit from back,RASH AND NEGLIGENT,,Bus Stop,Entry/Exit to Land Use,Along Service Road,3.0,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Hit from Back x Bus Stop', 'Hit from Back x Entry/Exit to Land Use', 'Hit from Back x Along Service Road']"
99,30_36/2023,2023,Legitimate,30,KR Pura traffic ps,36/2023,12.984923,77.643024,"RTO office kr pura, Medahalli",03/02/2023,15:00:00,1.0,,,Fatal,Vehicle-Vehicle,Vehicle,Vehicle,Vehicle and Vehicle,Hit from Back,Rash and Negligent,"03/02/2023, 15-00",vehicle to vehilce,vehicle to vehicle,hit from back,RASH AND NEGLIGENT,,Bus Stop,Entry/Exit to Land Use,Along Service Road,3.0,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Hit from Back x Bus Stop', 'Hit from Back x Entry/Exit to Land Use', 'Hit from Back x Along Service Road']"
100,19_303/2024,2024,Unique,19,J B NAGAR TR PS,303/2024,12.985343,77.64413,"Indiranagar 80 feet road, 100 feet road junction, Old Madras Road",18/11/2024,13:00:00,1.0,,,Fatal,Vehicle-Vehicle,2W,2W,2W and 2W,Hit from Side,Rash and Negligent,"18.11.2024, 13.00",RIDER OF M/C NO. KA-53-HB-3574,Fatal,HIT FROM SIDE  M/C NO KA-53-HB-3574,RASH AND NEGLIGENT,,Entry/Exit to Land Use,,,2.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,['Hit from Side x Entry/Exit to Land Use']
101,20_298/2024,2024,Unique,20,J B NAGAR TR PS,298/2024,12.984734,77.642563,"Indiranagar 80 feet road, 100 feet road junction, Old Madras Road",16/11/2024,05:30:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,2W,Pedestrian,2W and Pedestrian,Hit from Side,Rash and Negligent,"16.11.2024, 05.30",PEDESTRIAN,Non-Fatal,HIT FROM SIDE M/C NO KA-03-JT-5366,RASH AND NEGLIGENT,,Entry/Exit to Land Use,T Junction,,1.0,primary x tertiary,primary x tertiary,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Entry/Exit to Land Use', 'Hit Pedestrian - Hit from Side x T Junction']"
102,25_102/2024,2024,Legitimate,25,J B NAGAR TR PS,102/2024,12.986109,77.64267,OLD BYAPPANAHALLI PLEYOVER KALAPALLI MAIN ROAD,28/04/2024,18:00:00,1.0,,,Fatal,Vehicle-Vehicle,Vehicle,3W,Vehicle and 3W,Head-On,Rash and Negligent,"28.04.2024, 18.00",PASSENGER  OF AUTO NO KA-03-AC-0971,Fatal,HEAD ON AUTO NO KA-03-AC-0971,RASH AND NEGLIGENT,,Along Local Road,,,0.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1,,,['Head-On x Along Local Road']
110,18_35/2024,2024,Unique,18,J B NAGAR TR PS,35/2024,12.984119,77.640737,"Indiranagar 80 feet road, 100 feet road junction, Old Madras Road",08/02/2024,07:25:00,1.0,,,Fatal,Vehicle-Vehicle,Canter,2W,Canter and 2W,Hit from Back,Rash and Negligent,"08.02.2024, 07.25",RIDER OF M/C NO KA-41-Q-345,Fatal,HIT FROM BACK EICHER NO KA-50-1077,RASH AND NEGLIGENT,,Intersection,Entry/Exit to Land Use,,1.0,primary x primary,primary x primary,J-A051 | ARTERIAL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Hit from Back x Intersection', 'Hit from Back x Entry/Exit to Land Use']"
111,59_135/2022,2022,Unique,59,Mahadevapura Tr PS,135/2022,12.999879,77.683194,3rd cross B Narayanapura to Lowry school junction,15/08/2022,22:00:00,1.0,,,Fatal,Vehicle-Vehicle,Unknown,2W,Unknown and 2W,Hit from Back,Rash and Negligent,15.08.2022 At 22-00,Goods  And Motor Cycle ,,Hit From Back,Rash &Negligence Driving,Goods  And Motor Cycle ,T Junction,,,1.0,primary x tertiary,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,1,,,['Hit from Back x T Junction']
112,60_166/2022,2022,Legitimate,60,Mahadevapura Tr PS,166/2022,13.000057,77.683473,3rd cross B Narayanapura to Lowry school junction,19/09/2022,14:50:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,2W,Pedestrian,2W and Pedestrian,Hit from Side,Rash and Negligent,19.09.2022 At 14-50,Motor Cycle And Pedestrian,,Hit From Right Side,Rash &Negligence Driving,Motor Cycle And Pedestrian,Bus Stop,T Junction,,2.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Bus Stop', 'Hit Pedestrian - Hit from Side x T Junction']"
113,58_25/2022,2022,Legitimate,58,Mahadevapura Tr PS,25/2022,12.999692,77.681674,3rd cross B Narayanapura to Lowry school junction,17/02/2022,09:15:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Canter,2W,Canter and 2W,Hit from Side,Rash and Negligent,17.02.2022 At  9-15,TATA Ace  And Scooter ,,Hit From Right Side,Rash &Negligence Driving,TATA Ace  And Scooter ,Intersection,,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,,,['Hit from Side x Intersection']
114,60_158/2023,2023,Unique,60,Mahadevapura Tr PS,158/2023,13.000278,77.680783,3rd cross B Narayanapura to Lowry school junction,09/08/2023,09:30:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,Car,Pedestrian,Car and Pedestrian,Hit from Back,Rash and Negligent,09.08.2023 At Around 9-30,Car And Pedestrian,Car And Pedestrian,Hit From Back,Rash &Negligence Driving,,Intersection,,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Hit Pedestrian,['Hit Pedestrian - Hit from Back x Intersection']
115,61_198/2023,2023,Legitimate,61,Mahadevapura Tr PS,198/2023,13.000431,77.683395,3rd cross B Narayanapura to Lowry school junction,21/11/2023,13:45:00,1.0,,,Fatal,Vehicle-Pedestrian,Lorry,Pedestrian,Lorry and Pedestrian,Hit from Side,Rash and Negligent,21.11.2023 At Around 13-45,Lorry And Pedestrian,Lorry And Pedestrian,Hit From Side,Rash &Negligence Driving,,Bus Stop,T Junction,,1.0,primary x residential,primary x residential,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Bus Stop', 'Hit Pedestrian - Hit from Side x T Junction']"
116,47_053/2022,2022,Unique,47,WHITEFIELD,053/2022,12.956857,77.745641,VARTHURU KODI TO VARTHURU BRIDGE,19/04/2022,05:45:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Canter,2W,Canter and 2W,Head-On,Rash and Negligent,19.04.2022 at  05:45,Vehicle to Vehicle,,Head on Collision,Rash &Negligence Driving,Canter & Motor Cycle,Intersection,Entry/Exit to Land Use,,1.0,primary x primary,primary x primary,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Head-On x Intersection', 'Head-On x Entry/Exit to Land Use']"
117,3_44/2023,2023,Legitimate,3,Halasuru Tr,44/2023,12.958161,77.641345,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,13/03/2023,23:00:00,1.0,,,Fatal,Vehicle-Pedestrian,Vehicle,Pedestrian,Vehicle and Pedestrian,Hit from Side,Rash and Negligent,13.03.2023 at 23:00,Pedstrian,Vehicle to Pedstrain,Hit From Side ,RASH AND NEGLIGENT,,T Junction,Ramp Entry/Exit,,0.0,tertiary x residential,tertiary x residential,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x T Junction', 'Hit Pedestrian - Hit from Side x Ramp Entry/Exit']"
157,22_114/2024,2024,Unique,22,J B NAGAR TR PS,114/2024,12.959724,77.649165,GOLDEN ENCLAVE  APARTMENT OLD AIR PORT ROAD,20/05/2024,03:00:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Vehicle,2W,Vehicle and 2W,Hit from Back,Rash and Negligent,"20.05.2024, 03.00",RIDER OF M/C NO KA-04-EK-3866,Non-Fatal,HIT FROM BACK AMBULANCE NO TG-07-T-0407,RASH AND NEGLIGENT,,Intersection,Bus Stop,Entry/Exit to Land Use,3.0,tertiary x tertiary,tertiary x tertiary,J-A045 | ARTERIAL,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Hit from Back x Intersection', 'Hit from Back x Bus Stop', 'Hit from Back x Entry/Exit to Land Use']"
158,19_114/2023,2023,Unique,19,J B NAGAR TR PS,114/2023,12.959513,77.653847,GOLDEN ENCLAVE  APARTMENT OLD AIR PORT ROAD,02/06/2023,10:00:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,2W,Pedestrian,2W and Pedestrian,Hit from Side,Rash and Negligent,"02.06.2023, 10.00",PEDESTRIAN,Non-Fatal,HIT FROM SIDE M/C NO KA-02-KR-7089,RASH AND NEGLIGENT,,Intersection,Along Service Road,,3.0,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Intersection', 'Hit Pedestrian - Hit from Side x Along Service Road']"
160,331_0036/2022,2022,Unique,331,BELLANDUR TRPS,0036/2022,12.903481,77.703955,KAIKONDRAHALLI JUNCTION ,04/06/2022,21:45:00,,2.0,,Non-Fatal,Vehicle-Vehicle,2W,Car,2W and Car,Hit from Back,Rash and Negligent,04.06.2022 @21.45,SCOOTER RIDER AND PILLION RIDER,,HIT FROM BACK SCOOTER V/S CAR,1. Over Speeding and  2. Dangerous/ negligent driving,NON FATAL,Bus Stop,Entry/Exit to Land Use,,3.0,,,J-A206 | ARTERIAL,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Hit from Back x Bus Stop', 'Hit from Back x Entry/Exit to Land Use']"
161,354_0035/2022,2022,Unique,354,BELLANDUR TRPS,0035/2022,12.914145,77.677644,KAIKONDRAHALLI JUNCTION ,26/05/2022,12:10:00,1.0,,,Fatal,Vehicle-Pedestrian,Lorry,Pedestrian,Lorry and Pedestrian,Hit from Back,Rash and Negligent,26.05.2022 @12.10,PEDASTRIAN,,HIT FROM BACK WATER TANKER V/S PEDESTRIAN,RASH AND NEGLIGENCE DRIVE,FATAL,Bus Stop,T Junction,,1.0,primary x secondary,primary x secondary,J-A491 | ARTERIAL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Back x Bus Stop', 'Hit Pedestrian - Hit from Back x T Junction']"
162,200_0048/2023,2023,Unique,200,BELLANDUR TRPS,0048/2023,12.91404,77.677402,KAIKONDRAHALLI JUNCTION ,10/04/2023,08:00:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,2W,Pedestrian,2W and Pedestrian,Hit from Side,Rash and Negligent,10.04.2023 @08.00,PEDASTRIAN,NON FATAL,HIT FROM SIDE MOTOR CYCLE V/S PEDESTRIAN,Rash and Negligence,,Bus Stop,T Junction,,0.0,primary x secondary,primary x secondary,J-A491 | ARTERIAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Bus Stop', 'Hit Pedestrian - Hit from Side x T Junction']"
163,72_187/2024,2024,Legitimate,72,Jnanabharathi Tr PS,187/2024,12.96397,77.511169,Nagarabhavi ring road near sri malai mahadeshwara temple,30/05/2024,09:40:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Car,2W,Car and 2W,Hit from Back,Rash and Negligent,30/05/2024 09:40,Vehicle To Vehicle,Non Fatal ,Two wheeler (self),"The gist of this case is that the complainant Shri.R.B.Muttaraj has filed a complaint that his wife Mrs. Sharada.A.L. 34 years old on date:-30-05-2024 at around 09-40 am while she was riding her scooter Pep No.KA-05-KM-5855 on Nagarbavi Outer Ring Road from Summanahalli side towards Nagarbavi Circle on the road near the Tax House when the driver of a Board Innova car came from behind on the same route with speed and negligence and hit the two-wheeler from behind. As a result, the two-wheeler rider Mrs. Sharada fell from the vehicle on the road and suffered injuries to her head and hands and legs and was admitted to Nagarbavi G.M. Hospital for treatment. The complaint is that the driver of the car that caused this accident should be identified and legal action should be taken etc.",,Along Local Road,,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,1,,,['Hit from Back x Along Local Road']
164,147_0006/2024,2024,Unique,147,HSR TRPS,0006/2024,12.923802,77.639918,Auto mart Junction,20/01/2024,,,1.0,,Non-Fatal,Vehicle-Vehicle,Bus,2W,Bus and 2W,Hit from Back,Rash and Negligent,20.01.2024,Motor cycle rider,Non Fatal,HIT BY BACK Private Bus &  Scooter ,"1. Over Speeding,Dangerous/ negligent driving",,Intersection,Entry/Exit to Land Use,,2.0,primary x secondary,primary x secondary | secondary x secondary,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Hit from Back x Intersection', 'Hit from Back x Entry/Exit to Land Use']"
